Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,44005,"Newport, RI",641,*,594000,0.0119,0.2479,617,-0.0112,-0.2767,89,0.1125,-0.0326,146,0.058,-0.0135,4,0,0,98,-0.2344,-0.1833,210,0.4094,,1095100,0.016,0.2793,827,0.0699,-0.0305,0.3404,0.1016,0.3404
2017-09-01,13313,"Whitfield, GA",642,,176500,-0.0459,0.0665,305,-0.0033,0.0201,76,0.0133,0.0704,106,0.2045,0.1277,0,-1,-1,50,-0.2424,-0.2188,3,2,0.5,238100,-0.0202,0.0438,308,0.0033,0.0233,0.0098,0.0066,0.0031
2017-09-01,37023,"Burke, NC",643,,199900,0.0532,0.0953,453,0.039,-0.2988,99,0.1647,-0.0917,90,-0.2742,-0.1,0,,,70,0.25,-0.1026,18,-0.0526,8,301900,0.0124,0.0732,471,0.0352,-0.2731,0.0397,-0.0038,0.0366
2017-09-01,36015,"Chemung, NY",644,,125000,-0.028,0,531,-0.0056,-0.0733,86,0.1169,-0.0851,94,-0.0784,-0.0208,0,-1,,112,-0.0968,-0.0175,3,2,-0.5,155400,-0.0032,0,534,-0.0019,-0.0777,0.0056,0.0038,-0.0048
2017-09-01,12087,"Monroe, FL",645,,625000,0.0382,0.087,1686,-0.0371,-0.0777,156,0.0759,0.0612,36,-0.8378,-0.8349,8,-0.4286,-0.4286,58,-0.5735,-0.6081,125,0.0331,1.6042,1085500,0.0224,0.173,1811,-0.0326,-0.0346,0.0741,0.005,0.0479
2017-09-01,45075,"Orangeburg, SC",646,,144500,-0.0062,-0.0197,441,-0.035,-0.0068,136,-0.049,0.0794,68,-0.0286,0.4167,4,0,,32,-0.3043,-0.2,12,-0.1429,,184700,-0.0016,0,453,-0.0382,0.0203,0.0272,-0.0034,0.0272
2017-09-01,48469,"Victoria, TX",647,,193000,-0.0077,-0.0875,419,-0.0412,-0.0118,84,0.1831,0.0633,64,-0.4286,-0.3333,2,,-0.6667,46,-0.623,-0.6462,0,-1,,237700,0.0017,0.0184,419,-0.0434,-0.0118,0,-0.0023,0
2017-09-01,30013,"Cascade, MT",648,,209900,0.0244,0.0628,481,0.0063,0.03,66,0.1186,-0.0571,112,-0.2821,0.12,2,,,100,0,-0.0741,0,,,295900,-0.006,0.0339,481,0.0063,0.03,0,0,0
2017-09-01,47119,"Maury, TN",649,,304900,0.0163,0.0999,616,0.0336,0.0657,38,0.0556,-0.1364,250,-0.0234,0.2255,22,-0.0833,0.1,122,0.0702,0.9677,0,,,346000,-0.0049,0.0666,616,0.0336,0.0657,0,0,0
2017-09-01,39119,"Muskingum, OH",650,,147600,-0.0153,0.0877,445,0.0114,-0.1342,76,0.0133,-0.0732,104,-0.0877,-0.0714,0,,-1,70,-0.1463,-0.186,58,-0.0169,,184800,0.0065,0.0707,503,0.008,-0.0214,0.1303,-0.0038,0.1303
